Date,NewsTitle
2000-12-31,Stocks Quiet As The Dollar Weakens By LFB Forex
2000-12-31,"European Markets Rise, But U.S. Futures Decline Ahead Of Earnings By LFB Forex"
2000-12-31,Asian Shares Follow Wall Street Higher By LFB Forex
2000-12-31,Stocks Higher/Dollar Lower As The Bear Market Takes A Pause By LFB Forex
2000-12-31,Global Wrap: Markets Rising After Sales Reports Point Toward Recovery By LFB Forex
2000-12-31,Trade Desk Thoughts: S&P Futures Outlook By LFB Forex
2000-12-31,Global Market Wrap: U.S. Markets Hold Higher By LFB Forex
2000-12-31,Stocks Rise On Home Sales/Dollar Weakens By LFB Forex
2000-12-31,"European Markets Rise, But U.S. Futures Decline Ahead Of Earnings By LFB Forex"
2000-12-31,Stocks Slide On Profit Outlooks/Dollar Mixed By LFB Forex
2000-12-31,Chart Of the Day Updates:RBA Poses Aud/Usd Valuation Question By LFB Forex
2000-12-31,"European Markets Rise, But U.S. Futures Decline Ahead Of Earnings By LFB Forex"
2000-12-31,Global Wrap: Stocks Rise After Fed Holds Steady By LFB Forex
2000-12-31,Global Market Wrap: Dow Declines On Day Rose 1.3 Percent on the Week By LFB Forex
2000-12-31,Asian Markets Rise On Chrysler Bankruptcy News By LFB Forex
2000-12-31,The Healthcare Sector Lifts The U.S. Market Higher By LFB Forex
2000-12-31,Global Markets Continue To Trade Mixed By LFB Forex
2000-12-31,Chart Of the Day Updates:RBA Poses Aud/Usd Valuation Question By LFB Forex
2000-12-31,Wheel Spinning Equities Create Forex Dust By LFB Forex
2000-12-31,Global Wrap: U.S. Markets Close Mixed By LFB Forex
2000-12-31,Asian Markets Stall After Earthquake and Typhoon By LFB Forex
2000-12-31,Stocks Rise On GE News/Dollar Gains On The Yen By LFB Forex
2000-12-31,Global Wrap: Markets Rise After Employment Reports By LFB Forex
2000-12-31,Global Trading Wrap: Wall Street Falters On Banking Fears By LFB Forex
2000-12-31,Global Wrap: Stock Market Continues Losing Streak By LFB Forex
2000-12-31,Global Wrap: U.S. Markets Hit New Yearly High By LFB Forex
2000-12-31,Global Wrap: U.S. Markets Rises For Fifth Straight Session By LFB Forex
2000-12-31,Global Market Wrap: U.S. Equities Test 13-month Highs By LFB Forex
2000-12-31,Global Market Wrap: U.S. Equities Catch The Bear Express By LFB Forex
2000-12-31,Global Wrap: Markets Positive Before Jobs Report Tomorrow By LFB Forex
2000-12-31,Stocks Quiet As The Dollar Weakens By LFB Forex
2000-12-31,Asian Shares Follow Wall Street Higher By LFB Forex
2000-12-31,Stocks Higher/Dollar Lower As The Bear Market Takes A Pause By LFB Forex
2000-12-31,Trade Desk Thoughts: S&P Futures Outlook By LFB Forex
2000-12-31,Global Market Wrap: Dow Advancing to Highest Level All Year By LFB Forex
2000-12-31,Global Market Wrap: U.S. Markets Hold Higher By LFB Forex
2000-12-31,Stocks Rise On Home Sales/Dollar Weakens By LFB Forex
2000-12-31,Global Market Wrap: Slow Day For Global Markets By LFB Forex
2000-12-31,Global Wrap: S&P 500 At An 11 Month High By LFB Forex
2000-12-31,Stocks Rise/Dollar Gains On The Yen By LFB Forex
2000-12-31,"Trade Desk Thoughts: When Central Banks Buy, Gold Surges By LFB Forex"
2000-12-31,Chart of the Day Update: Pound Opportunity On Dollar Index Break By LFB Forex
2001-01-02,"Nasdaq nears 2-year low - Jan. 2, 2001"
2001-01-02,"Nasdaq nears 2-year low - Jan. 2, 2001"
2001-01-03,"Nasdaq soars record 14% - Jan. 3, 2001"
2001-01-03,"Fed sparks January rally - Jan. 3, 2001"
2001-01-03,"Nasdaq soars record 14% - Jan. 3, 2001"
2001-01-03,"Fed sparks January rally - Jan. 3, 2001"
2001-02-01,When were the most prolific bull and bear market periods in the United States?
2001-02-01,When were the most prolific bull and bear market periods in the United States?
2001-02-13,"FRB: Monetary Policy Report to the Congress, February 13, 2001"
2001-02-13,"FRB: Monetary Policy Report to the Congress, February 13, 2001"
2001-02-15,"Bear Stears buys leading specialist - Feb. 15, 2001"
2001-02-15,"Bear Stears buys leading specialist - Feb. 15, 2001"
2001-02-20,"ETFs: An asset allocation tool for the fund investor - Feb. 20, 2001"
2001-02-20,"ETFs: An asset allocation tool for the fund investor - Feb. 20, 2001"
2001-03-04,Is Enron overpriced?
2001-03-04,Is Enron overpriced?
2001-03-21,"Dow plunges to two-year low - Mar. 21, 2001"
2001-03-21,"Dow plunges to two-year low - Mar. 21, 2001"
2001-03-28,CEO Salaries Under Fire As Stocks Dive
2001-03-28,CEO Salaries Under Fire As Stocks Dive
2001-04-18,"Wall St. soars on Fed move - Apr. 18, 2001"
2001-04-18,"Wall St. soars on Fed move - Apr. 18, 2001"
2001-04-19,Waiting for the midnight hour
2001-04-19,Waiting for the midnight hour
2001-05-24,Was Nvidia's Invite to Nasdaq 100 Not Noticed?
2001-05-24,Was Nvidia's Invite to Nasdaq 100 Not Noticed?
2001-05-31,Ready ... set ... retire!
2001-05-31,Ready ... set ... retire!
2001-07-06,"Tough times on Wall St. - Jul. 6, 2001"
2001-07-06,"Tough times on Wall St. - Jul. 6, 2001"
2001-08-06,"Intel fuels broad decline on Wall St. - Aug. 6, 2001"
2001-08-06,"Intel fuels broad decline on Wall St. - Aug. 6, 2001"
2001-08-31,"Wall Street's cruel summer - Aug. 31, 2001"
2001-08-31,"Wall Street's cruel summer - Aug. 31, 2001"
2001-09-01,Creative destruction
2001-09-01,Creative destruction
2001-09-10,"Wall St. bears and bulls call a tie - Sep. 10, 2001"
2001-09-10,"Wall St. bears and bulls call a tie - Sep. 10, 2001"
2001-09-17,"Stocks fall to 3-year lows - Sep. 17, 2001"
2001-09-17,"Stocks fall to 3-year lows - Sep. 17, 2001"
2001-09-17,"It’s All Yours, Jeff. Now What?"
2001-09-17,"It’s All Yours, Jeff. Now What?"
2001-09-24,"U.S. stock markets end in major rally - Sep. 24, 2001"
2001-09-24,"U.S. stock markets end in major rally - Sep. 24, 2001"
2001-10-01,Prophets and profits
2001-10-01,"U.S. stock markets pare losses - Oct. 1, 2001"
2001-10-01,"U.S. stock markets pare losses - Oct. 1, 2001"
2001-10-01,Prophets and profits
2001-10-03,"Some worry Fed rate cuts no longer effective - Oct. 3, 2001"
2001-10-03,"Some worry Fed rate cuts no longer effective - Oct. 3, 2001"
2001-12-17,"Stocks 2001: A second year lower - Dec. 17, 2001"
2001-12-17,"Sept. 11, the only story"
2001-12-17,"Stocks 2001: A second year lower - Dec. 17, 2001"
2001-12-17,"Sept. 11, the only story"
2002-01-02,"A recap of a few stock winners and losers of 2001 - Jan. 2, 2002"
2002-01-02,Funds '01: Not so terrible
2002-01-02,"A recap of a few stock winners and losers of 2001 - Jan. 2, 2002"
2002-01-02,Funds '01: Not so terrible
2002-01-14,"The new tech bubble - Jan. 14, 2002"
2002-01-14,"The new tech bubble - Jan. 14, 2002"
2002-01-18,How Kmart Blew It
2002-01-18,How Kmart Blew It
2002-02-10,Numbers You Can Trust: Dividends
2002-02-10,Numbers You Can Trust: Dividends
2002-03-04,The bond king
2002-03-04,The bond king
2002-04-01,Look before you lay off
2002-04-01,Look before you lay off
2002-05-21,Fear Factor Spooks Stocks Again
2002-05-21,Fear Factor Spooks Stocks Again
2002-05-24,Searching for Value in the U.S. Stock Market
2002-05-24,Searching for Value in the U.S. Stock Market
2002-06-01,Who’s afraid of variable earnings?
2002-07-25,Analysts reduce market targets
2002-08-08,The Public Company Accounting Reform and Investor Protection Act of 2002: Public Markets and Government Oversight
2002-09-28,The unfinished recession
2002-09-30,"Economic, profit concerns shatter market confidence - Sep. 30, 2002"
2002-10-01,The real cost of equity
2002-10-09,"Stocks get pummeled on GE, autos, investor pessimism - Oct. 9, 2002"
2002-10-09,TSX down 50 per cent from all-time high in 2000
2002-10-09,30-Year super stocks
2002-10-10,"Markets bounce sharply off multi-year lows - Oct. 10, 2002"
2002-10-19,Exchange Traded Funds
2002-10-23,Is That a $100 Bill Lying on the Ground? Two Views of Market Efficiency
2002-11-29,"Major indexes log gains for second consecutive month - Nov. 29, 2002"
2002-12-02,When Head And Shoulders Above Isn't Good
2002-12-31,Bust out the bubbly for Tyco?
2003-01-15,The Advantages of Family Ownership
2003-01-24,"Wall Street walloped - Jan. 24, 2003"
2003-01-24,Peter Lynch: Why he's buying now
2003-01-31,Save Safe: Make Sure Expenses Don't Eat Up a Fund's Dividend Yield
2003-02-13,"Is the so-called Fed model on stocks broken? - Feb. 13, 2003"
2003-03-04,Gap's lookin' for its groove
2003-03-06,Betting the house
2003-03-10,"Dow and S&P 500 hit new 5-month lows - Mar. 10, 2003"
2003-03-14,Mulberry Firm to Increase Food Irradiation
2003-03-22,TSC Options Forum: Cabinet Bids Explained
2003-03-24,"U.S. stocks under siege - Mar. 24, 2003"
2003-06-19,A spring in their step
2003-06-20,Growth in the Post-Bubble Economy
2003-07-24,Bubble Rewrites 'Rules' on Recession/Recovery
2003-08-21,Betting on genius
2003-10-09,Fat cats feeding
2003-11-14,Should the Fed React to the Stock Market?
2003-12-30,2003's biggest winners
2003-12-30,"Here are 2003's biggest losers in the stock market - Dec. 30, 2003"
2004-01-01,Why the biggest and best struggle to grow
2004-02-18,Lodi music store receives new life after owners decide not to close
2004-04-22,Rainbo Bakery Store to move after nearly 25 years in Lodi
2004-05-07,King of the Court
2004-05-07,Hollywood's New King Kong
2004-06-01,Herb Kelleher: The Thought Leader Interview
2004-06-08,Aluminum Service Jack lifts up to 1.5 ton vehicles.
2004-06-28,The Science Of Love
2004-10-01,House Prices and Fundamental Value
2004-10-08,Bonds Leather -- a business that is one of the last of its kind around
2004-10-14,Bank chief outlines art of leading
2004-10-18,The Curse of The Hot Hand
2004-10-29,Inflation-Induced Valuation Errors in the Stock Market
2004-11-04,"Stocks rally Thursday - Nov. 4, 2004"
2004-12-01,What is stock index membership worth?
2004-12-20,"2004's stock winners and losers - Dec. 20, 2004"
2004-12-31,"Stocks inch lower Friday; up solidly for year - Dec. 31, 2004"
2005-01-07,"Stocks mixed Friday, down for the week - Jan. 7, 2005"
2005-01-13,When the bubble burst
2005-01-15,Should the CEO Be the Chairman?
2005-01-20,Hedge-fund performance
2005-03-23,Jeremy Siegel’s Latest Book Lays out the Future for Investors
2005-03-25,Burton's Shoes keeps Lodi's feet comfortable
2005-04-15,What's So Special About the Invesco S&P 500 Equal Weight ETF?
2005-04-15,3 Millionaire-Maker Artificial Intelligence (AI) Stocks
2005-04-15,Nvidia Stock Investors Should Watch Microsoft's Massive GB200 Demand
2005-04-15,The Smartest High-Yield Dividend ETF to Buy With $500 Right Now
2005-04-15,Warren Buffett Loves This Stock That's at a 52-Week Low
2005-04-15,Should Investors Buy the ASML Dip Over Taiwan Semiconductor Manufacturing?
2005-04-15,Why Shares in This Hot Copper Mining Stock Soared This Week
2005-04-15,Why Lucid Group Stock Is Going Downhill Today
2005-04-15,These 2 Simple ETFs Could Turn $100 a Month Into $1.4 million
2005-04-15,"Down Nearly 60% From Its High, Is Celsius Holdings Stock a Bargain Buy?"
2005-05-12,Think twice before you leap
2005-06-13,"Morgan Stanley CEO Philip J. Purcell's resignation letter - Jun. 13, 2005"
2005-07-13,The Kondratieff Cycle
2005-08-01,The do-or-die struggle for growth
2005-08-05,Netscape: The IPO that launched an era
2005-09-02,Contrafund closing in on Magellan
2005-09-08,"America's biggest hedge funds control $743 billion - Sep. 8, 2005"
2005-10-03,Ameriprise spins into S&P 500
2005-10-06,Personal Finance: Stocks seem less risky now than in years past
2005-11-30,"Archive for November, 2005"
2005-12-30,"The S&P 500's best stocks in 2005 - Jan. 2, 2006"
2005-12-30,P/E vs S&P 500 (50 Years)
2006-01-03,"CNNMoney.com Market Report - Jan. 3, 2006"
2006-01-20,"CNNMoney.com Market Report - Jan. 20, 2006"
2006-01-26,Passive aggression
2006-02-06,"FORTUNE Investor Guide: Neville Isdell, Coca-Cola - Feb. 6, 2006"
2006-02-24,Physicists Predict Stock Market Crashes
2006-03-23,Another honor heaped on SJC’s Sullivan Sykes
2006-04-01,Inside a hedge fund: An interview with the managing partner of Maverick Capital
2006-04-13,"KU portfolio beats market, wins honor"
2006-05-03,"FORTUNE: Street Life: Mary Meeker 2.0 - May. 3, 2006"
2006-05-12,Panera Bread open for business in Lodi
2006-06-15,"Ken Heebner: The mad genius of mutual funds - Jun. 15, 2006"
2006-06-26,Billionaire Warren Buffett to begin disbursing fortune
2006-06-27,Investors snap up equities
2006-07-04,Merck and the Vioxx rut
2006-07-09,"Drink, Smoke and Gamble, and This Fund Climbs (Published 2006)"
2006-07-11,"New rule: Look out, not in."
2006-07-24,GE’s transformer: Face to Face with former GE Asset CEO John Myers
2006-08-31,How Did the 2003 Dividend Tax Cut Affect Stock Prices?
2006-09-04,Maverick notion: Face to Face with Martin D. Sass
2006-09-25,Opinion | The Penny Stops Here
2006-09-29,"Archive for September, 2006"
2006-10-05,The search for talent
2006-10-24,Six reasons why ImClone is a risky investment
2006-10-30,The Dodge & Cox Mystique
2006-12-02,Four years of Trevizo Tile and Stone in Lodi
2006-12-29,"CNNMoney.com Market Report - Dec. 29, 2006"
2006-12-31,"Archive for December, 2006"
2007-01-01,The truth about growth and value stocks
2007-01-01,2006: Phenomenal year for stock market
2007-01-11,"Going, going, up"
2007-01-20,Model Portfolio #2: The Boglehead’s Guide To Investing
2007-01-26,P/E Ratios by Sector
2007-01-31,"If the Bears Win, Will the Bulls Run?"
2007-01-31,"Archive for January, 2007"
2007-02-15,Tax Efficient Mutual Fund Placement For Maximum Return
2007-02-27,"CNNMoney.com Market Report - Feb. 27, 2007"
2007-02-27,"CNNMoney.com Market Report - Feb. 27, 2007"
2007-02-28,Stocks rebound after market meltdown
2007-03-02,"CNNMoney.com Market Report - Mar. 2, 2007"
2007-03-26,Stingy payout ratios
2007-04-02,Change artist: Face to face with John Abunassar
2007-04-05,Morgan Stanley tweaks ETF sector model
2007-04-11,"My Friend, Milton Friedman"
2007-04-19,Taking Henry Silverman Private
2007-04-24,"Dow Jones index breaks 13,000; S&P, Nasdaq hit 6-year highs"
2007-04-29,Triple Your Money
2007-05-04,"S&P's 1,500 impresses market more than Dow's 13,000"
2007-05-04,"Stock spotlight: Wait for the breakup before buying Tyco - May. 4, 2007"
2007-05-22,Exchange in brief
2007-05-30,The hottest investor in America
2007-06-01,Report ranks Apple No. 2 in supply chain management
2007-06-05,"Q&A with Jay Bowen of money management firm Bowen Hanes & Co - June 11, 2007"
2007-06-11,A calm exterior: Face to Face with Lee Ainslie
2007-06-13,Ben Stein's perfect portfolio
2007-07-08,Loving What Nobody Wants (Published 2007)
2007-07-12,"Banner day for the Dow - Jul. 12, 2007"
2007-07-17,Sony Vaio UX gets iPhone interface makeover
2007-07-23,Money still flowing into hedge funds - survey
2007-07-27,"Dow suffers worst week in over 4 years - Jul. 27, 2007"
2007-08-03,"Another�devastating decline for the Dow - Aug. 3, 2007"
2007-08-04,"GuruFocus | Stock Market Research, Data and Tools"
2007-08-09,"CNNMoney.com Market Report - Aug. 9, 2007"
2007-08-20,"CNNMoney.com Market Report - Aug. 20, 2007"
2007-08-23,Harvard-Yale Endowment Performance Versus the Buy-and-Hold and Timing Approaches (NYSEARCA:SPY)
2007-08-29,S&P 500 Sector Weightings: A Historical Look
2007-08-30,"Merck, once shunned by investors, is enjoying a renaissance - Aug. 30, 2007"
2007-09-04,Stock Dividend Yields vs. Interest Rates: An 80 Year History
2007-09-04,"CEO Pay Up 298%, Average Worker's? 4.3% (1995-2005)"
2007-09-07,Stocks slammed on jobs report
2007-09-18,US Central Bank cuts interest rate to 4.75%
2007-09-19,Charting the Market's Response To Yesterday's Rate Cut
2007-10-02,The Stock Market and Real GDP
2007-10-10,"CNNMoney.com Market Report - Oct. 10, 2007"
2007-10-12,"CNNMoney.com Market Report - Oct. 12, 2007"
2007-10-15,Chemical-Stocks-Outperform-Again
2007-10-26,Asset Price Bubbles
2007-10-27,Ursine !
2007-10-31,Specifications of Verizon's LG Voyager outed
2007-11-06,"Choosing An Asset Allocation, Step 1: Deciding On The Stocks/Bonds Ratio"
2007-11-19,Child’s death surrounded with controversy
2007-12-10,"WaMu Cuts Dividend, Jobs Amid Mortgage Losses"
2007-12-17,"Once Broke, GameStop Moves Up to S.&P. 500 (Published 2007)"
2007-12-21,Business Week 2008 Forecasters Expect Further Gains
2007-12-31,"Archive for December, 2007"
2007-12-31,T. ROWE PRICE NEW HORIZONS FUND
2007-12-31,2007 Market in Review: Burning Down the House
2008-01-02,2008 predictions for the S&P 500
2008-01-02,"JPMorgan Predicts 2008 Will Be ""Nothing But Net"""
2008-01-07,Barclays: Institutional investors to boost holdings
2008-01-10,Riding the cycle
2008-01-18,S&P Capital IQ Launches Arbitrage Indices
2008-02-01,"Microsoft, Yahoo and Google: timeline"
2008-02-05,The Flawed Fed Valuation Model
2008-02-18,Getting busy: Face to Face with Mark Fetting
2008-02-21,Japain
2008-02-25,Cola Wars - Coke versus Pepsi
2008-02-28,Warren Buffett - The richest investor in the World
2008-03-18,Bear Stearns sale has global effect
2008-04-16,Faith and money
2008-05-06,Updated Year-End S&P 500 Price Targets from Wall Street Strategists
2008-05-12,In the game again: Face to Face with Martin Flanagan
2008-05-19,P/E Divergence Between Growth and Value Stocks: The Wrong Way
2008-05-29,Stupid Investment of the Week
2008-06-02,Why the S&P SmallCap Index Consistently Beats the Russell 2000
2008-06-06,"CNNMoney.com Market Report - Jun. 6, 2008"
2008-06-09,Buffett's big bet
2008-06-16,Sharpe Ratios of Managers
2008-06-20,"Dow, S&P 500 And NYSE Hit New Lows As Oil Bounces, Financial Fears Return"
2008-07-02,Dow Jones down 20% from Oct. peak; GM lowest since 1954
2008-07-02,Reuters Business Summary
2008-07-10,"Stocks Advance, Braving Hostile Headlines; Energy Dominates Winners, Financials Dive"
2008-07-22,Asset Class Correlations
2008-08-04,Strong foundation: Face to face with David Lippman
2008-08-04,Stocks: Can the Market Predict a President?
2008-08-06,Holding Positions Over the Weekend: Debunking the Monday Myth?
2008-08-26,Who's the Next President? The Stock Market Says...
2008-08-31,Wall Street's view of the dental industry
2008-09-11,Does age matter when you're CEO?
2008-09-15,Wall Street Feels the Shock Waves: Bad But No Chaos
2008-09-15,Wall St.’s Turmoil Sends Stocks Reeling (Published 2008)
2008-09-16,"CNNMoney.com Market Report - Sep. 16, 2008"
2008-09-17,"CNNMoney.com Market Report - Sep. 17, 2008"
2008-09-19,"Beta, Measuring a Stock's Risk"
2008-09-29,"Asian stocks knocked lower - Sep. 29, 2008"
2008-09-30,"CNNMoney.com Market Report - Sep. 30, 2008"
2008-10-01,"Stocks Regain Much Of Monday's Losses On Hopes For Rescue, But Volume Drops"
2008-10-02,Indexes Plunge On Weak Reports; Volume Up
2008-10-06,S&P 500 Review
2008-10-09,"Recession fear plunders Wall Street, Dow dives 678.91"
2008-10-15,Historical Sector Weights of the S&P 500
2008-10-22,The unsinkable Mellody Hobson
2008-10-22,Huge put trades in S&P 500 pushes up fear gauge
2008-10-23,S&P500 Stock Market Crash Compared to Nikkei Index
2008-10-23,"NYSE Stocks Rebound From Early Losses, But Nasdaq Notches Third Straight Drop"
2008-10-27,S&P Returns Since 1927 Are Important
2008-10-30,Business | US interest rates slashed to 1%
2008-10-30,"Rebound Continues, But Volume Eases"
2008-10-31,October 2008
2008-11-03,Main Indexes End Mixed In Light Volume As Market Goes Quiet Ahead Of Election
2008-11-05,Dow Sinks Day After Election; Obama to Inherit Bad Economy
2008-11-05,Ten Top Earnings-Call Questions
2008-11-06,"Hard-hit mutual fund Fidelity Investments to cut jobs - Nov. 6, 2008"
2008-11-13,Owner of Oglethorpe Mall faces bankruptcy
2008-11-18,Late-Day Recovery Leaves Rally Attempt In Good Standing
2008-11-20,Investor Sentiment: What's It Saying about the Market?
2008-11-21,"Headlines for November 21, 2008"
2008-11-23,Global Markets Week in Review: Living on a Prayer
2008-11-28,Dow Outperforms In Short Session
2008-12-11,Historical Distribution of Annual US Market Returns From 1825-Present: How Bad Was 2008?
2008-12-11,Feds Charge: The $50 BILLION Scam: One Man's Amazing Crime
2008-12-12,Indexes Buck Up As Volume Fades
2008-12-18,Politicians Dropping Madoff Money
2008-12-19,Stocks Trim Advances After White House Greenlights Auto-Industry Bailout Loans
2008-12-24,"Stocks Snap Losing Streak, Tick Higher As Market Gets Early Jump On Holidays"
2008-12-31,"Archive for December, 2008"
2008-12-31,Global Stock Market Performance in 2008
2009-01-01,"Buffett's Berkshire Hathaway Drops 32% In 2008, But Still Beats S&P For Third Straight Year"
2009-01-05,Using the T2108 Indicator to Identify Overbought S&P 500 Conditions (NYSEARCA:SPY)
2009-01-07,US STOCKS-Wall St rises on upbeat global manufacturing data By Reuters
2009-01-21,All that glitters this year is gold
2009-01-22,"The goodwill, the bad and the ugly"
2009-01-24,In Plato's cave
2009-01-24,Get Briefed: Jeremy Grantham
2009-01-28,"In the Words of William Wallace: ""HOLD... HOLD... HOLD"""
2009-02-01,RPT-Wall St Wk Ahead: Stocks eye stimulus after bad January By Reuters
2009-02-01,U.S. Housing Market: 1982 vs. 2009 (NYSEARCA:SPY)
2009-02-02,How Bad Was the 1980s Real Estate Crash? (NYSEARCA:SPY)
2009-02-04,A Madoff Whistle-Blower Tells His Story
2009-02-08,"Two S&P 500 Charts: Rolling 10-Year Returns, Inflation Adjusted Performance (NYSEARCA:SPY)"
2009-02-18,Should you follow Warren Buffett’s latest moves?
2009-03-02,"Another week, another bailout: U.S. throws more funds at AIG"
2009-03-04,S&P 500: Inflation Adjusted Chart Looks a Little Different
2009-03-04,"Obama says buy stocks now: Good deals there for long-term investors, President claims"
2009-03-05,"S&P P/E Ratio Is Low, But Has Been Lower"
